  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00    24.01      0.00       10     0.00     0.00  Range#each
  0.00    24.01      0.00       48     0.00     0.00  Array#fetch
  0.00    24.01      0.00        2     0.00     0.00  Matrix#transpose
  0.00    24.01      0.00        4     0.00     0.00  Matrix#new_matrix
  0.00    24.01      0.00        2     0.00     0.00  Array#transpose
  0.00    24.01      0.00        2     0.00     0.00  Fixnum#zero?
  0.00    24.01      0.00      296     0.00     0.14  GroundEffect#draw
  0.00    24.01      0.00       11     0.00     0.00  Matrix#row_size
  0.00    24.01      0.00       49     0.00     0.00  Matrix#[]
  0.00    24.01      0.00        1     0.00     0.00  Matrix#rows
  0.00    24.01      0.00      296     0.00     0.00  Camera::TrimetricCamera#visible?
  0.00    24.01      0.00        6     0.00     0.00  Matrix#initialize
  0.00    24.01      0.00      971     0.00     0.00  Fixnum#==
  0.00    24.01      0.00        1     0.00     0.00  Glu.gluNewQuadric
  0.00    24.01      0.00       16     0.00     0.00  Array#size
  0.00    24.01      0.00        3     0.00     0.00  Matrix::ConversionHelper.convert_to_array
  0.00    24.01      0.00      888     0.00     0.00  Gosu::Color#red
  0.00    24.01      0.00        4     0.00     0.00  CP::Vec2#normalize
  0.00    24.01      0.00        2     0.00     0.00  CP::Vec2#-@
  0.00    24.01      0.00      593     0.00     0.00  Float#-@
  0.00    24.01      0.00      888     0.00     0.00  Gl.glColor4f
  0.00    24.01      0.00        2     0.00     0.00  Math.sin
  0.00    24.01      0.00        2     0.00     0.00  Math.cos
  0.00    24.01      0.00        4     0.00     0.00  Numeric#to_rad
  0.00    24.01      0.00        2     0.00     0.00  Module#alias_method
  0.00    24.01      0.00      296     0.00     1.45  Camera::TrimetricCamera::TrimetricQueue#clear
  0.00    24.01      0.00       14     0.00     0.00  Kernel.freeze
  0.00    24.01      0.00      296     0.00     0.00  Comparable.==
  0.00    24.01      0.00        2     0.00     0.00  Module#protected
  0.00    24.01      0.00        2     0.00     0.00  Module#private_class_method
  0.00    24.01      0.00        2     0.00     0.00  Module#autoload
  0.00    24.01      0.00        3     0.00     0.00  ExceptionForMatrix.included
  0.00    24.01      0.00       29     0.00     0.34  Module#include
  0.00    24.01      0.00       36     0.00     0.00  Module#included
  0.00    24.01      0.00       40     0.00     0.00  Module#append_features
  0.00    24.01      0.00        4     0.00     0.00  Exception2MessageMapper.def_e2message
  0.00    24.01      0.00        7     0.00     0.00  Kernel.extend
  0.00    24.01      0.00        7     0.00     0.00  Module#extended
  0.00    24.01      0.00        4     0.00     0.00  Exception2MessageMapper.extend_object
  0.00    24.01      0.00        4     0.00     0.00  Exception2MessageMapper.bind
  0.00    24.01      0.00        4     0.00     0.00  Module#module_eval
  0.00    24.01      0.00        4     0.00     0.00  Module#<
  0.00    24.01      0.00        7     0.00     0.00  Module#extend_object
  0.00    24.01      0.00        5     0.00     0.00  Module#const_set
  0.00    24.01      0.00       19     0.00     0.00  BasicObject#instance_eval
  0.00    24.01      0.00        9     0.00     0.00  Array#hash
  0.00    24.01      0.00      888     0.00     0.00  Gl.glStencilOp
  0.00    24.01      0.00     1776     0.00     0.00  Gl.glStencilMask
  0.00    24.01      0.00        5     0.00     0.00  Class#initialize
  0.00    24.01      0.00        5     0.00     0.00  Kernel.kind_of?
  0.00    24.01      0.00       61     0.00     0.00  Module#define_method
  0.00    24.01      0.00       36     0.00     0.00  Module#attr_reader
  0.00    24.01      0.00       26     0.00     0.00  Module#attr_accessor
  0.00    24.01      0.00       46     0.00     0.00  Module#===
  0.00    24.01      0.00       37     0.00     0.00  Exception#set_backtrace
  0.00    24.01      0.00       74     0.00     0.00  Exception#backtrace
  0.00    24.01      0.00      888     0.00     0.00  Gosu::GLTexInfo#tex_name
  0.00    24.01      0.00      888     0.00     0.00  Gl.glBindTexture
  0.00    24.01      0.00       37     0.00     0.00  Exception#exception
  0.00    24.01      0.00       37     0.00     0.00  NameError#initialize
  0.00    24.01      0.00       37     0.00     0.00  Exception#initialize
  0.00    24.01      0.00       35     0.00     0.00  Module#private
  0.00    24.01      0.00      142     0.00     0.00  Class#inherited
  0.00    24.01      0.00     1776     0.00     0.00  Gosu::GLTexInfo#right
  0.00    24.01      0.00       10     0.00     0.00  Array#sort!
  0.00    24.01      0.00      296     0.00     0.00  Float#%
  0.00    24.01      0.00       11     0.00     0.00  Array#map!
  0.00    24.01      0.00      296     0.00    24.09  UI_StateManager#draw
  0.00    24.01      0.00       88     0.00     0.00  File#expand_path
  0.00    24.01      0.00      296     0.00    70.14  Gosu::Window#protected_draw
  0.00    24.01      0.00     1667     0.00     0.00  Symbol#==
  0.00    24.01      0.00       47     0.00     0.00  Set#delete
  0.00    24.01      0.00       22     0.00     0.00  InputHandler#button_up
  0.00    24.01      0.00       22     0.00     0.00  GameWindow#button_up
  0.00    24.01      0.00       22     0.00     0.00  Gosu::Window#protected_button_up
  0.00    24.01      0.00       22     0.00     0.00  InputHandler#button_down
  0.00    24.01      0.00       22     0.00     0.00  GameWindow#button_down
  0.00    24.01      0.00       22     0.00     0.00  Gosu::Window#protected_button_down
  0.00    24.01      0.00        1     0.00     0.00  BasicObject#!
  0.00    24.01      0.00      279     0.00     0.00  Gosu.fps
  0.00    24.01      0.00      149     0.00     0.00  CP::Body#a=
  0.00    24.01      0.00      392     0.00     0.00  CP::Body#apply_force
  0.00    24.01      0.00       10     0.00     0.00  Dir#glob
  0.00    24.01      0.00       34     0.00     0.00  File#join
  0.00    24.01      0.00      198     0.00     0.05  Physics::Space#friction
  0.00    24.01      0.00       10     0.00     0.00  CP::Vec2#clamp
  0.00    24.01      0.00       10     0.00     0.00  CP::Body#v=
  0.00    24.01      0.00       10     0.00     0.00  File::Stat#directory?
  0.00    24.01      0.00       10     0.00     0.00  File::Stat#file?
  0.00    24.01      0.00       10     0.00     0.00  File#stat
  0.00    24.01      0.00      129     0.00     0.00  PhysicsInterface.reset_jump
  0.00    24.01      0.00       10     0.00     0.00  Array#first
  0.00    24.01      0.00       41     0.00     0.00  Array#empty?
  0.00    24.01      0.00        6     0.00     0.00  CollisionHandler::EntityEnv#separate
  0.00    24.01      0.00        4     0.00     0.00  Fixnum#>=
  0.00    24.01      0.00        1     0.00     0.00  Gosu::Window#close
  0.00    24.01      0.00        1     0.00     0.00  GameWindow#close
  0.00    24.01      0.00      899     0.00     0.00  Array#last
  0.00    24.01      0.00        1     0.00 23270.00  Gosu::Window#show
  0.00    24.03      0.00        1     0.00 24030.00  #toplevel
